Figure NA.3 – Values of cr(z),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Height (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.186,0.8248,0.8339,0.843,0.8521,0.8611,0.8702,0.8793,0.8884,0.8975,0.9066,0.9157,0.9248,0.9339,0.943,0.9521,0.9612,0.9704,0.9795,0.9886,0.9977,1.0069,1.016,1.0252,1.0343,1.0435,1.0526,1.0618,1.071,1.0801,1.0893,1.0985,1.1077,1.1169,1.1261,1.1354,1.1446,1.1538,1.1631,1.1724,1.1816,1.1909,1.2002,1.2095,1.2188,1.2282,1.2375,1.2469,1.2563,1.2657,1.2751,1.2845,1.294,1.3034,1.3129,1.3224,1.332,1.3415,1.3511,1.3607,1.3703,1.38,1.3897,1.3994,1.4092,1.419,1.4288,1.4386,1.4482,1.4559,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.2,0.8229,0.8319,0.841,0.8501,0.8591,0.8682,0.8773,0.8863,0.8954,0.9045,0.9135,0.9226,0.9317,0.9408,0.9499,0.959,0.9681,0.9772,0.9863,0.9954,1.0045,1.0136,1.0227,1.0319,1.041,1.0501,1.0593,1.0684,1.0776,1.0868,1.0959,1.1051,1.1143,1.1235,1.1327,1.1419,1.1511,1.1604,1.1696,1.1788,1.1881,1.1974,1.2067,1.216,1.2253,1.2346,1.244,1.2533,1.2627,1.2721,1.2815,1.2909,1.3004,1.3098,1.3193,1.3288,1.3384,1.3479,1.3575,1.3671,1.3768,1.3864,1.3961,1.4059,1.4156,1.4254,1.4353,1.4451,1.455,1.4636,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.214,0.821,0.83,0.839,0.8481,0.8571,0.8662,0.8752,0.8843,0.8933,0.9024,0.9114,0.9205,0.9295,0.9386,0.9477,0.9567,0.9658,0.9749,0.984,0.9931,1.0022,1.0113,1.0204,1.0295,1.0386,1.0477,1.0568,1.066,1.0751,1.0842,1.0934,1.1025,1.1117,1.1209,1.1301,1.1392,1.1484,1.1577,1.1669,1.1761,1.1854,1.1946,1.2039,1.2132,1.2224,1.2317,1.2411,1.2504,1.2598,1.2691,1.2785,1.2879,1.2973,1.3068,1.3163,1.3257,1.3353,1.3448,1.3544,1.3639,1.3736,1.3832,1.3929,1.4026,1.4123,1.4221,1.4319,1.4418,1.4517,1.4616,1.4713,1.4791,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.229,0.8191,0.8281,0.8371,0.8461,0.8552,0.8642,0.8732,0.8822,0.8913,0.9003,0.9093,0.9184,0.9274,0.9365,0.9455,0.9545,0.9636,0.9727,0.9817,0.9908,0.9999,1.0089,1.018,1.0271,1.0362,1.0453,1.0544,1.0635,1.0726,1.0817,1.0909,1.1,1.1092,1.1183,1.1275,1.1366,1.1458,1.155,1.1642,1.1734,1.1826,1.1919,1.2011,1.2104,1.2196,1.2289,1.2382,1.2475,1.2569,1.2662,1.2756,1.285,1.2944,1.3038,1.3132,1.3227,1.3322,1.3417,1.3513,1.3608,1.3704,1.38,1.3897,1.3994,1.4091,1.4188,1.4286,1.4385,1.4483,1.4582,1.4682,1.4782,1.487,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.245,0.8172,0.8262,0.8352,0.8442,0.8532,0.8622,0.8712,0.8802,0.8892,0.8983,0.9073,0.9163,0.9253,0.9343,0.9434,0.9524,0.9614,0.9705,0.9795,0.9886,0.9976,1.0067,1.0157,1.0248,1.0339,1.0429,1.052,1.0611,1.0702,1.0793,1.0884,1.0975,1.1066,1.1158,1.1249,1.1341,1.1432,1.1524,1.1616,1.1708,1.18,1.1892,1.1984,1.2076,1.2169,1.2261,1.2354,1.2447,1.254,1.2634,1.2727,1.2821,1.2914,1.3008,1.3103,1.3197,1.3292,1.3387,1.3482,1.3577,1.3673,1.3769,1.3865,1.3962,1.4059,1.4156,1.4254,1.4352,1.4451,1.4549,1.4649,1.4748,1.4849,1.4948,1.5027,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.263,0.8154,0.8244,0.8334,0.8423,0.8513,0.8603,0.8693,0.8783,0.8873,0.8963,0.9052,0.9142,0.9232,0.9322,0.9413,0.9503,0.9593,0.9683,0.9773,0.9863,0.9954,1.0044,1.0135,1.0225,1.0315,1.0406,1.0497,1.0587,1.0678,1.0769,1.086,1.0951,1.1042,1.1133,1.1224,1.1315,1.1407,1.1498,1.159,1.1681,1.1773,1.1865,1.1957,1.2049,1.2142,1.2234,1.2327,1.2419,1.2512,1.2605,1.2699,1.2792,1.2886,1.2979,1.3073,1.3168,1.3262,1.3357,1.3452,1.3547,1.3643,1.3738,1.3835,1.3931,1.4028,1.4125,1.4222,1.432,1.4418,1.4517,1.4616,1.4716,1.4816,1.4916,1.5017,1.5107,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.282,0.8136,0.8226,0.8315,0.8405,0.8494,0.8584,0.8674,0.8763,0.8853,0.8943,0.9033,0.9122,0.9212,0.9302,0.9392,0.9482,0.9572,0.9662,0.9752,0.9842,0.9932,1.0022,1.0112,1.0202,1.0293,1.0383,1.0474,1.0564,1.0655,1.0745,1.0836,1.0927,1.1017,1.1108,1.1199,1.129,1.1382,1.1473,1.1564,1.1656,1.1747,1.1839,1.1931,1.2023,1.2115,1.2207,1.23,1.2392,1.2485,1.2578,1.2671,1.2764,1.2857,1.2951,1.3045,1.3139,1.3233,1.3327,1.3422,1.3517,1.3613,1.3708,1.3804,1.39,1.3997,1.4094,1.4191,1.4289,1.4387,1.4485,1.4584,1.4683,1.4783,1.4883,1.4984,1.5085,1.5187,1.5268,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.302,0.8119,0.8208,0.8297,0.8387,0.8476,0.8565,0.8655,0.8744,0.8834,0.8923,0.9013,0.9102,0.9192,0.9282,0.9371,0.9461,0.9551,0.9641,0.973,0.982,0.991,1,1.009,1.018,1.027,1.0361,1.0451,1.0541,1.0631,1.0722,1.0812,1.0903,1.0994,1.1084,1.1175,1.1266,1.1357,1.1448,1.1539,1.163,1.1722,1.1813,1.1905,1.1997,1.2089,1.2181,1.2273,1.2365,1.2458,1.255,1.2643,1.2736,1.2829,1.2923,1.3016,1.311,1.3204,1.3299,1.3393,1.3488,1.3583,1.3678,1.3774,1.387,1.3966,1.4063,1.416,1.4257,1.4355,1.4453,1.4552,1.4651,1.4751,1.4851,1.4951,1.5053,1.5154,1.5257,1.5349,1.5431,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.324,0.8101,0.819,0.8279,0.8369,0.8458,0.8547,0.8636,0.8726,0.8815,0.8904,0.8994,0.9083,0.9172,0.9262,0.9351,0.9441,0.953,0.962,0.971,0.9799,0.9889,0.9979,1.0069,1.0158,1.0248,1.0338,1.0428,1.0518,1.0609,1.0699,1.0789,1.088,1.097,1.106,1.1151,1.1242,1.1333,1.1423,1.1514,1.1605,1.1697,1.1788,1.1879,1.1971,1.2063,1.2155,1.2247,1.2339,1.2431,1.2523,1.2616,1.2709,1.2802,1.2895,1.2988,1.3082,1.3176,1.327,1.3364,1.3459,1.3554,1.3649,1.3745,1.384,1.3936,1.4033,1.413,1.4227,1.4324,1.4423,1.4521,1.462,1.4719,1.4819,1.4919,1.502,1.5122,1.5224,1.5327,1.543,1.5513,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
0.347,0.8084,0.8173,0.8262,0.8351,0.844,0.8529,0.8618,0.8707,0.8796,0.8885,0.8975,0.9064,0.9153,0.9242,0.9332,0.9421,0.951,0.96,0.9689,0.9779,0.9868,0.9958,1.0047,1.0137,1.0227,1.0316,1.0406,1.0496,1.0586,1.0676,1.0766,1.0856,1.0947,1.1037,1.1127,1.1218,1.1309,1.1399,1.149,1.1581,1.1672,1.1763,1.1854,1.1946,1.2037,1.2129,1.2221,1.2313,1.2405,1.2497,1.2589,1.2682,1.2775,1.2868,1.2961,1.3054,1.3148,1.3242,1.3336,1.343,1.3525,1.362,1.3715,1.3811,1.3907,1.4003,1.41,1.4197,1.4294,1.4392,1.449,1.4589,1.4688,1.4788,1.4888,1.4989,1.509,1.5192,1.5294,1.5397,1.5501,1.5596,1.5679,1.5764,1.5849,1.5934,1.6021,1.6108,1.6196,1.6286,1.6375,1.6466,1.6558,1.6651,1.6745,1.684,1.6937,1.7034,1.7133,1.7233,1.7335,1.7438,1.7542,1.7648,1.7756,1.7865,1.7976,1.8088,1.8203,1.8319
