"Figure NA.6 – Values of turbulence correction factor kI,T for sites in Town terrain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Height (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.186,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6429,1.6223,1.6023,1.5828,1.5637,1.5451,1.5269,1.5091,1.4917,1.4747,1.4581,1.4419,1.426,1.4104,1.3951,1.3801,1.3655,1.3511,1.337,1.3231,1.3095,1.2962,1.2831,1.2702,1.2575,1.245,1.2328,1.2207,1.2088,1.1971,1.1856,1.1742,1.163,1.152,1.141,1.1303,1.1196,1.1091,1.0987,1.0884,1.0782,1.0681,1.0581,1.0482,1.0384,1.0286,1.0189,1.0093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6499,1.6355,1.6155,1.5959,1.5768,1.5581,1.5399,1.5221,1.5047,1.4877,1.471,1.4548,1.4388,1.4232,1.4079,1.3929,1.3783,1.3639,1.3497,1.3359,1.3223,1.3089,1.2958,1.2829,1.2702,1.2577,1.2455,1.2334,1.2215,1.2098,1.1983,1.1869,1.1757,1.1647,1.1538,1.143,1.1324,1.1219,1.1115,1.1012,1.0911,1.081,1.0711,1.0612,1.0514,1.0416,1.032,1.0223,1.0128,1.0033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.214,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6499,1.6411,1.6285,1.6088,1.5897,1.571,1.5528,1.5349,1.5175,1.5005,1.4838,1.4675,1.4515,1.4359,1.4206,1.4056,1.3909,1.3765,1.3624,1.3485,1.3349,1.3215,1.3084,1.2955,1.2828,1.2703,1.258,1.246,1.2341,1.2224,1.2109,1.1995,1.1883,1.1773,1.1664,1.1556,1.145,1.1345,1.1242,1.1139,1.1038,1.0938,1.0838,1.0739,1.0642,1.0545,1.0448,1.0353,1.0257,1.0163,1.0068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.229,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6499,1.6411,1.6326,1.6217,1.6025,1.5838,1.5655,1.5476,1.5302,1.5131,1.4964,1.4801,1.4641,1.4485,1.4332,1.4181,1.4034,1.389,1.3748,1.3609,1.3473,1.3339,1.3208,1.3079,1.2952,1.2827,1.2705,1.2584,1.2465,1.2348,1.2233,1.2119,1.2008,1.1897,1.1789,1.1681,1.1575,1.147,1.1367,1.1265,1.1164,1.1063,1.0964,1.0866,1.0768,1.0672,1.0576,1.048,1.0386,1.0291,1.0197,1.0104,1.0011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.245,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6499,1.6411,1.6326,1.6244,1.6151,1.5964,1.5781,1.5602,1.5427,1.5256,1.5089,1.4926,1.4766,1.4609,1.4455,1.4305,1.4158,1.4013,1.3872,1.3733,1.3596,1.3462,1.3331,1.3202,1.3075,1.295,1.2827,1.2707,1.2588,1.2471,1.2356,1.2242,1.2131,1.202,1.1912,1.1805,1.1699,1.1594,1.1491,1.1389,1.1288,1.1188,1.1089,1.0991,1.0894,1.0797,1.0702,1.0607,1.0512,1.0419,1.0325,1.0232,1.0139,1.0047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.263,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6499,1.6411,1.6326,1.6244,1.6166,1.6089,1.5905,1.5726,1.5551,1.538,1.5212,1.5049,1.4889,1.4732,1.4578,1.4428,1.428,1.4135,1.3994,1.3855,1.3718,1.3584,1.3453,1.3323,1.3196,1.3072,1.2949,1.2828,1.2709,1.2592,1.2477,1.2364,1.2252,1.2142,1.2034,1.1926,1.1821,1.1716,1.1613,1.1511,1.1411,1.1311,1.1212,1.1114,1.1018,1.0922,1.0826,1.0732,1.0638,1.0544,1.0451,1.0359,1.0267,1.0174,1.0083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.282,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6499,1.6411,1.6326,1.6244,1.6166,1.609,1.6016,1.5849,1.5673,1.5502,1.5334,1.5171,1.501,1.4853,1.4699,1.4549,1.4401,1.4256,1.4114,1.3975,1.3838,1.3704,1.3573,1.3443,1.3316,1.3192,1.3069,1.2948,1.2829,1.2713,1.2597,1.2484,1.2372,1.2262,1.2154,1.2047,1.1941,1.1837,1.1734,1.1632,1.1532,1.1432,1.1334,1.1237,1.114,1.1044,1.0949,1.0855,1.0762,1.0669,1.0576,1.0484,1.0392,1.0301,1.021,1.0118,1.0027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.302,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6499,1.6411,1.6326,1.6244,1.6166,1.609,1.6016,1.5946,1.5795,1.5623,1.5455,1.5291,1.513,1.4973,1.4819,1.4668,1.452,1.4376,1.4233,1.4094,1.3957,1.3823,1.3692,1.3562,1.3435,1.331,1.3188,1.3067,1.2948,1.2831,1.2716,1.2603,1.2491,1.2381,1.2273,1.2166,1.2061,1.1957,1.1854,1.1752,1.1652,1.1553,1.1455,1.1357,1.1261,1.1166,1.1071,1.0977,1.0884,1.0792,1.0699,1.0608,1.0517,1.0426,1.0335,1.0244,1.0154,1.0063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.324,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6499,1.6411,1.6326,1.6244,1.6166,1.609,1.6016,1.5946,1.5878,1.5742,1.5574,1.541,1.5249,1.5092,1.4937,1.4786,1.4639,1.4494,1.4351,1.4212,1.4075,1.3941,1.3809,1.368,1.3553,1.3428,1.3305,1.3184,1.3065,1.2949,1.2834,1.272,1.2609,1.2499,1.2391,1.2284,1.2179,1.2075,1.1972,1.1871,1.1771,1.1672,1.1574,1.1477,1.1381,1.1286,1.1191,1.1098,1.1005,1.0913,1.0821,1.073,1.064,1.0549,1.0459,1.0369,1.0279,1.0189,1.01,1.0009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.347,2.0088,1.9851,1.9625,1.941,1.9205,1.9009,1.8822,1.8643,1.8472,1.8308,1.8151,1.8,1.7856,1.7717,1.7584,1.7455,1.7332,1.7214,1.71,1.699,1.6884,1.6782,1.6684,1.659,1.6499,1.6411,1.6326,1.6244,1.6166,1.609,1.6016,1.5946,1.5878,1.5812,1.5692,1.5528,1.5366,1.5209,1.5055,1.4903,1.4755,1.461,1.4468,1.4328,1.4191,1.4057,1.3925,1.3796,1.3669,1.3544,1.3421,1.33,1.3181,1.3065,1.295,1.2836,1.2725,1.2615,1.2507,1.24,1.2295,1.2191,1.2089,1.1988,1.1888,1.1789,1.1691,1.1595,1.1499,1.1404,1.131,1.1217,1.1125,1.1033,1.0942,1.0851,1.0761,1.0671,1.0582,1.0492,1.0403,1.0314,1.0225,1.0135,1.0046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
