ProfDefID;ProfilType;GeoDef;LineDef;Picture;Parameters;Fixed;Inputs;Para1;Para2;Para3;Para4;Para5;Para6;Para7;Para8;Para9;Para10;Para11;Para12;Para13;Para14;
1;cTowerN;1;2;cTowerN.wmf;6;2;6;r;kx;ny;lz;nz;kz; ; ; ; ; ; ; ; ;
2;cTowerNn;1;3;cTowerNN.wmf;6;2;6;r;kx;ny;lz;nz;kz; ; ; ; ; ; ; ; ;
3;cTowerX;1;4;cTowerX.wmf;6;2;6;r;kx;ny;lz;nz;kz; ; ; ; ; ; ; ; ;
4;cTowerW;1;5;cTowerW.wmf;6;2;6;r;kx;ny;lz;nz;kz; ; ; ; ; ; ; ; ;
5;cTowerK;6;7;cTowerK.wmf;6;2;6;r;kx;ny;lz;nz;kz; ; ; ; ; ; ; ; ;
6;cTowerKk;6;8;cTowerKK.wmf;6;2;6;r;kx;ny;lz;nz;kz; ; ; ; ; ; ; ; ;
7;cTowerO;6;9;cTowerO.wmf;6;2;6;r;kx;ny;lz;nz;kz; ; ; ; ; ; ; ; ;
8;cTowerXX;1;10;cTowerXX.wmf;6;2;6;r;kx;ny;lz;nz;kz; ; ; ; ; ; ; ; ;
9;cTowerV;11;12;cTowerV.wmf;6;2;6;r;kx;ny;lz;nz;kz; ; ; ; ; ; ; ; ;
