ProfDefID;ProfilType;GeoDef;LineDef;Picture;Parameters;Fixed;Inputs;Para1;Para2;Para3;Para4;Para5;Para6;Para7;Para8;Para9;Para10;Para11;Para12;Para13;Para14;
47;cTruss_O;32;28;cTruO.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
48;vTruss_X;2;29;vTruX.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
49;pTruss_X;3;29;pTruX.wmf;6;2;6;n;m;l;h;hu;hd; ; ; ; ; ; ; ; ;
50;cTruss_X;4;29;cTruX.wmf;5;2;5;n;m;ru;rd;fi; ; ; ; ; ; ; ; ; ;
51;Truss_N;33;8;TruN.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
52;Truss.n;33;9;TruNz.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
53;Truss_Nn;33;10;TruNNz.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
54;Truss.nN;33;11;TruNzN.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
55;Truss_M;33;24;TruM.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
56;Truss.m;33;25;TruMz.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
57;Truss_W;33;26;TruW.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
58;Truss.w;33;27;TruWz.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
59;Truss_X;33;29;TruX.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
60;Truss_V;34;19;TruV.wmf;8;2;8;n;m;l;h;hu;hd;cu;cd; ; ; ; ; ; ;
